id,glosa
144,educadora de párvulo encargada del desarrollo de proceso pedagógico de las clases en las etapas de planificación ejecución y evaluación de las experiencias y ambientes educativos del nivel asignado para el cumplimiento de los objetivos de aprendizaje
145,trabajador agricola
146,de acuerdo a la naturaleza del cargo y su descripción
147,académico depto ciencias clínicas y preclínicas
148,docente
149,especialista regional en operaciones de ventas para proporcionar analisis de datos comerciales e informes de analisis de ventas que permiten a las partes interesadas y al equipo de ejecutivos tomar decisiones informadas
150,docente
151,asesorar a las empresas adherentes sobre franquicia tributaria sence reglamentos asociados y procedimientos internos de la corporación así mismo deberá apoyar en la administración de proveedores de capacitación la planificación coordinación y la gestión de proyectos de formación entre otros
152,administrativo
153,visionar emisiones preparar información para la generación de reportes y otros generar reportes de avance mantener contacto con canales y otros para obtener la información de los elencos y explotaciones ingresar información a los sistemas pertinentes  thespis y  otros
154,el trabajador se compromete a ejecutar labores de carpinterofabricacion de tabiquerias estructuras de techumbres cubiertas techumbres pisos cielos puertas ventanas traslado e instalacion de media aguas campamentos de emergencia cierres perimetrales construccion etc
155,controlar los indicadores de rendimientos manejar y controlar al personal a su cargo formar y reclutar empleados control de inventario manejar y controlar la imagen de la tienda optimo manejo en la atencion y servicio al cliente
156,jefe ventas tienda
157,se
158,promotor whs
159,detalladas en contrato de trabajo y descriptor de cargo
160,gestion e informtica
161,operar camión con el propósito de realizar tareas de traslado carga descarga y movimiento de residuos de acuerdo a las políticas procedimientos y estándares de empresas resiter
162,limpieza y selección de frutas
163,sus principales responsabilidades incluyen ejecutar trabajos de obras civiles finos y de terminación en los plazos definidos asegurando el cumplimiento de normas de seguridad calidad y medio ambiente
164,mantener al adulto mayor aseado alimentado y confortable durante su estadía en el hogar asegurando dignificar su vida en el plano terrenal y espiritual de manera independiente al estado de salud que tenga el residente asimismo demostrar en todo momento cordialidad respeto y disposición
165,mantener el aseo y orden la dependencia del establecimiento educacional cuidar y responsabilizase del uso conservación y custodia de las herramientas que se le hubieren asignado
166,auxiliar que colabora con la mantención del aseo y ornato de la empresa
167,concretero enfierrador operador de maquinas mantención aseo y peoneta
168,fabricación de muebles
169,enseñanza basica
170,recepcionar trasladar y suministrar materia prima o productos a las líneas y etapas del procesooperar y verificar los parámetros correctos de los equipos del proceso productivo para garantizar productos de acuerdo a especificaciones
171,mecánico
172,asistente  dental
173,proporcionar un servicio administrado a los clientes para garantizar que su infraestructura y sistemas de ti permanezcan operativos a través del monitoreo proactivo identificación investigación y resolución de incidentes
174,técnico de enfermería nivel superior
175,mantener aseadas ordenadas y limpias las áreas zonas de acopio de residuos y maquinas conforme a los lineamientos establecidos prestando apoyo oportuno tanto en instalaciones como operacones ademas debe asistir a los conductores de camión y vehiculos facilitando indicaciones
176,labores de portería operario de servicios generales
177,agricolas
178,gestión de venta y trabajo en terreno captando y visitando clientes realiza demostraciones de nuestro sistema y productos frente al cliente llamando a través del botón sos a la cra participar activamente de la reunión para capacitarse realizar teatros de ventas y compartir experiencias
179,operario
180,según contrato
181,mecanico sistemas de cañerias
182,ingresar planilla de sueldos emitir oc coficar facturas etc
183,dar soporte al producto rentas vitalicias que ofrece la compañía a través de los diferentes canales existentes además de comercializar rentas vitalicias en sus distintas modalidades en forma directa y otros productos del segmento de pensionados manteniendo una relación directa con el cliente pen
184,director de ingeniería
185,operario de aserradero aseo y labores asociadas al rubro
186,admistracion
187,atncion de publico en mesas y en barra
188,docente ingles enseñanza media
189,siendo sus funciones específicas reparación y colocación de moldajes de distinto tipo sean estos de madera o industrializados además prepara y monta andamios y carreras para hormigonar construye mesones de trabajo escalas caballetes construye envigados pisos tabiques cielos y techumbres c
190,realizar labores de analista control de gestión
191,recepcion de llamadas y despacho de emergencias
192,funciones propias del cargo
193,sus funciones deberán ajustarse a las órdenes e instrucciones que le imparta la dirección del empleador los jefes correspondientes como asimismo a las normas que establezcan los reglamentos y prácticas del régimen interno del empleador
194,conductor
195,auxiliar transporte escolar
196,coordinar y ejecutar los procesos de servicio a clientes a fin de que se realicen oportunamente de acuerdo a las condiciones estipuladas por la empresa y a la normativa legal vigente debe contar con conocimientos básicos de word y excel y conocimientos técnicos de legislación del consumidor y de
